Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3qHqKx4AJNjwNAtDWNEgU4,Crystal Silence - Live,Rendezvous In New York,Chick Corea;Gary Burton,1/1/2003,601906,4,FALSE,,2020-05-13T23:13:17Z,"jazz fusion,jazz,latin jazz,free jazz",Stretch Records,0.303,0.06,9,-27.341,0,0.0402,0.987,0.937,0.683,0.0683,109.515,4
spotify:track:3RdTRLulAJKR5An8vgfUig,Paradise Valley,Broken Knowz,Jay Daniel,11/25/2016,282266,0,FALSE,,2020-05-12T17:43:37Z,,Technicolour,0.788,0.887,10,-8.287,0,0.0548,0.449,0.896,0.11,0.405,117.813,4
spotify:track:466cKvZn1j45IpxDdYZqdA,Toosie Slide,Dark Lane Demo Tapes,Drake,5/1/2020,247058,72,TRUE,,2020-05-12T02:53:21Z,rap,OVO,0.83,0.49,1,-8.82,0,0.209,0.289,0.00000304,0.113,0.845,81.604,4
spotify:track:39NWMAVXWhAlqfGGJb273W,"The Planets, Op. 32: II. Venus, the Bringer of Peace","Holst: The Planets, Op. 32 - Ravel: Boléro, M. 81",Gustav Holst;Lorin Maazel;L'Orchestre National de France;Orchestre National De France,1982,429933,34,FALSE,,2020-05-10T20:47:44Z,"classical,orchestral,opera,ballet,impressionism,choral",Sony Classical,0.147,0.0119,8,-30.688,1,0.0401,0.958,0.86,0.132,0.0325,138.631,4
spotify:track:1AECmtHp67qzmTyBUQEJN0,"Songs Without Words, Book VI Opus 67: No. 2 in F-Sharp Minor",Mendelssohn: Piano Pieces,Felix Mendelssohn;Bertrand Chamayou,5/6/2008,120026,52,FALSE,,2020-05-10T20:45:22Z,"chamber music,classical,classical piano,choral,impressionism",naïve classique,0.262,0.0868,6,-26.318,0,0.0442,0.995,0.897,0.0794,0.503,68.904,4
spotify:track:3UJtBug6VeduUSGRIGvHKk,Dethfunk,Redukqs,Unown,12/21/2018,230550,29,TRUE,,2020-05-09T20:53:41Z,,unoriginality,0.868,0.652,1,-10.613,1,0.0921,0.00212,0.00108,0.087,0.826,100.006,4
spotify:track:4nK5YrxbMGZstTLbvj6Gxw,Supalonely,STELLA & STEVE,BENEE;Gus Dapperton,11/15/2019,223480,69,TRUE,,2020-05-08T19:23:12Z,bedroom pop,Republic Records,0.863,0.63,7,-4.688,1,0.0537,0.304,0.0000304,0.123,0.816,128.977,4
spotify:track:4WVssZ0EAu8cWM97jcZbui,Blue Horizon,The Best Of Sidney Bechet,Sidney Bechet,1/1/1994,267493,31,FALSE,,2020-05-08T04:55:10Z,"jazz,swing music,ragtime",Blue Note Records,0.355,0.342,3,-13.785,1,0.0571,0.873,0.879,0.0904,0.408,64.006,4
spotify:track:2OUMNIty0ZNqa185mVRehF,Lush LIfe,Piano Passion,Billy Strayhorn,9/20/2005,209026,0,FALSE,,2020-05-08T04:50:04Z,"jazz ballads,jazz,big band",Storyville,0.413,0.149,3,-15.895,0,0.035,0.995,0.92,0.108,0.104,67.546,4
spotify:track:316QJO4pQ2ETnkJPqmt2mw,New Phase (feat. Bevy Maco),New Phase (feat. Bevy Maco),GiiANA,4/24/2017,233947,4,FALSE,,2020-05-07T08:26:12Z,,Daily Earfood,0.782,0.724,6,-8.153,0,0.102,0.058,0.0131,0.107,0.51,114.006,4
